,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Rojo,"J Balvin",207536,https://open.spotify.com/track/4uziEsK1yiqdauKVDPsmVG
2,Ignorantes,"Bad Bunny",126560,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
3,"La Difícil","Bad Bunny",119499,https://open.spotify.com/track/6NfrH0ANGmgBXyxgV2PeXt
4,René,Residente,114885,https://open.spotify.com/track/6gm12xlADJwiBbHIKBXzGW
5,"Si Veo a Tu Mamá","Bad Bunny",103782,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
6,"La Santa","Bad Bunny",90719,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
7,Vete,"Bad Bunny",86343,https://open.spotify.com/track/2n7ohqg1s68ToAHh4u9mcW
8,Morado,"J Balvin",82599,https://open.spotify.com/track/3mQ6SLdxxaL52Yte7KF2Ks
9,Tusa,"KAROL G",80325,https://open.spotify.com/track/7k4t7uLgtOxPwTpFmtJNTY
10,"Sigues Con El","Dimelo Flow",77052,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
11,"Pero Ya No","Bad Bunny",67396,https://open.spotify.com/track/75pQqzwgCjUOSSy5CpmAjy
12,"Hola - Remix",Dalex,65493,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
13,"Dance Monkey","Tones and I",59489,https://open.spotify.com/track/1rgnBhdG2JDFTbYkYRZAku
14,"Yo Perreo Sola","Bad Bunny",59361,https://open.spotify.com/track/0SqqAgdovOE24BzxIClpjw
15,Blanco,"J Balvin",58717,https://open.spotify.com/track/2rc7BkzO8qepMFAxHtOrXc
16,Soliá,"Bad Bunny",58103,https://open.spotify.com/track/7sOfmPd18RWp3FoCzpa7Kw
17,Bichiyal,"Bad Bunny",56152,https://open.spotify.com/track/4j4w4CXm6BSr0s25wAWrrX
18,Safaera,"Bad Bunny",55597,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
19,"A Tu Merced","Bad Bunny",52603,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
20,BORRAXXA,Feid,51352,https://open.spotify.com/track/2Y1EBfErprYwOlgluV9neb
21,Girl,"Myke Towers",49606,https://open.spotify.com/track/43NqTeL8pgBxKHPMiJKUP5
22,"Está Cabrón Ser Yo","Bad Bunny",48548,https://open.spotify.com/track/4saHEjXw7O1NXJOzBkUKKG
23,"Que Malo","Bad Bunny",48528,https://open.spotify.com/track/53v2u51nq3CxiKUNphRzP1
24,Fantasias,"Rauw Alejandro",48216,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy
25,<3,"Bad Bunny",48170,https://open.spotify.com/track/4MZSqgwlE71CWZ6qQ3gkKm
26,"La Zona","Bad Bunny",45848,https://open.spotify.com/track/5kqNIqFjijuzvVLhuY9B8j
27,25/8,"Bad Bunny",44679,https://open.spotify.com/track/4NqQaovM14WR2hNPMFxgjb
28,"LA CANCIÓN","J Balvin",43140,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
29,"Una Vez","Bad Bunny",43064,https://open.spotify.com/track/5J7teKIJGtqVypgYI6sqXj
30,"No Me Conoce - Remix","Jhay Cortez",39337,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P
31,Keii,"Anuel AA",39156,https://open.spotify.com/track/5eEQCfq7MXQr6aHLNRUZLs
32,Diosa,"Myke Towers",39114,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
33,"RITMO (Bad Boys For Life)","Black Eyed Peas",38738,https://open.spotify.com/track/6cy3ki60hLwimwIje7tALf
34,Medusa,"Jhay Cortez",38164,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP
35,"P FKN R","Bad Bunny",37698,https://open.spotify.com/track/0fgsKar6uBO08vzHXkTjWi
36,Quizas,"Rich Music LTD",37473,https://open.spotify.com/track/5Id5B3dxJZhPcV9GzgYZZe
37,"Bellaquita - Remix",Dalex,36780,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
38,"Don't Start Now","Dua Lipa",34835,https://open.spotify.com/track/6WrI0LAC5M1Rw2MnX2ZvEg
39,"Hablamos Mañana","Bad Bunny",34493,https://open.spotify.com/track/1V8XneTrX6kKeoxYbk4x6h
40,Mejor,Dalex,34194,https://open.spotify.com/track/1mF6sMUsRU9MisrdB9qWvg
41,Callaita,"Bad Bunny",34088,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI
42,China,"Anuel AA",33625,https://open.spotify.com/track/2ksOAxtIxY8yElEWw8RhgK
43,Loco,Beéle,33278,https://open.spotify.com/track/2J9B63FawlTaPdg4eH5X03
44,Infeliz,Arcangel,33212,https://open.spotify.com/track/4z6wo6PJG4Fve45OXK6D9m
45,"Puesto Pa' Guerrial","Bad Bunny",32656,https://open.spotify.com/track/5gCg2qMPzKkW4jS4dBKdDs
46,Tattoo,"Rauw Alejandro",32046,https://open.spotify.com/track/7na7Bk98usp84FaOJFPv3d
47,Definitivamente,"Daddy Yankee",31987,https://open.spotify.com/track/113PlnpZbHd3WIqeYjhZWv
48,"QUE PRETENDES","J Balvin",31943,https://open.spotify.com/track/25ZAibhr3bdlMCLmubZDVt
49,"Si Te Vas",Sech,30554,https://open.spotify.com/track/6Y4PDQv4XjYjHLeLmvyOt0
50,"Adicto (with Anuel AA & Ozuna)",Tainy,30520,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq
51,"Alguien Me Gusta","Andy Rivera",28863,https://open.spotify.com/track/4iFTIshL0xDCw8JJUl5AJ3
52,Detente,"Mike Bahía",28258,https://open.spotify.com/track/0x1k6gSTSxaLxe0F2IThaX
53,TBT,"Sebastian Yatra",28195,https://open.spotify.com/track/4s45VgkknMFkdiGoUcjxQU
54,Muévelo,"Nicky Jam",26600,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ
55,Indeciso,Reik,25954,https://open.spotify.com/track/59s0s39NFWScuHDbHytI14
56,"Whine Up","Nicky Jam",25530,https://open.spotify.com/track/2pWOMNQJW3g2zmGjP0Vkb0
57,"Blinding Lights","The Weeknd",25444,https://open.spotify.com/track/0sf12qNH5qcw8qpgymFOqD
58,"Me Gusta",Shakira,25338,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a
59,"Pa' Olvidarme De Ella","Piso 21",24659,https://open.spotify.com/track/1cVlW9WQiGlFdWUXFdFZGh
60,Aventura,Lunay,24583,https://open.spotify.com/track/37zdqI4r1gswIzczSBkRon
61,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",23802,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
62,"La Isla (with Sech & Dalex feat. Justin Quiles, La Exce, Feid, Zion)","Dimelo Flow",23423,https://open.spotify.com/track/0UfVfRSmy4xMyi67LKH5zZ
63,"Si Me Dices Que Sí",Reik,22698,https://open.spotify.com/track/56Ta1O7Jxxpjnc6cWdDKUo
64,Señorita,"Shawn Mendes",22385,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
65,Tutu,Camilo,22326,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
66,"11 PM",Maluma,21047,https://open.spotify.com/track/7KbF6AdprOXEEHlsq11Z6d
67,"Te Vi","Piso 21",20483,https://open.spotify.com/track/059bcIhyc2SBwm6sw2AZzd
68,"Si Se Da - Remix","Myke Towers",20133,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD
69,Jangueo,"Alex Rose",19941,https://open.spotify.com/track/5m3jpKkgkfoMcym1qjToFg
70,"El Favor (with Nicky Jam & Sech, feat. Farruko, Zion & Lunay)","Dimelo Flow",19655,https://open.spotify.com/track/684EjRHwNsZQ9hCQxL4NYL
71,"bad guy","Billie Eilish",19466,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
72,"Qué Pena",Maluma,19373,https://open.spotify.com/track/5099x34vBakWpGkHourFxP
73,"Pa Mí - Remix",Dalex,18436,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz
74,"Soltera - Remix",Lunay,18256,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
75,"Perreo en La Luna","Rich Music LTD",18214,https://open.spotify.com/track/0RDgqtvOHLwcI6yz9bjsZV
76,"Que Tire Pa Lante","Daddy Yankee",18066,https://open.spotify.com/track/6RyaV7owmVU6fzEPE17sF1
77,"Stupid Love","Lady Gaga",17779,https://open.spotify.com/track/2kJu14V7hbZw3I4K8L8SXb
78,Desconocidos,"Mau y Ricky",17350,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h
79,"Que Mas Pues - Remix","Justin Quiles",17174,https://open.spotify.com/track/7fODjB7BrQTGqh0hogW6XD
80,Yummy,"Justin Bieber",16894,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
81,"Una Vida Para Recordar","Piso 21",16533,https://open.spotify.com/track/7pxL0DzPpCjjcdfQccvnus
82,"La Difícil",Camilo,16331,https://open.spotify.com/track/0PaNKfwdqHjmW7hVEQ0lbu
83,"Dream Girl - Remix","Ir Sais",16258,https://open.spotify.com/track/099tjv6oy2opbpCOA3nBwX
84,Porfa,Feid,16227,https://open.spotify.com/track/3iQOfefMGDVDwo8dZoco8T
85,Destino,Greeicy,16124,https://open.spotify.com/track/041Kcvnw8nOdq8xiRibPTG
86,"Con Altura",ROSALÍA,16115,https://open.spotify.com/track/2qG5sZ7Si6sdK74qLxedYM
87,Cuaderno,Dalex,15589,https://open.spotify.com/track/7anSoGdgtmJTAPZBzcPhO6
88,"UN PESO","J Balvin",15103,https://open.spotify.com/track/7hynhxDoDpgMIV12JuVtNa
89,"everything i wanted","Billie Eilish",15001,https://open.spotify.com/track/3ZCTVFBt2Brf31RLEnCkWJ
90,Memories,"Maroon 5",14971,https://open.spotify.com/track/2b8fOow8UzyDFAE27YhOZM
91,"La Lá","Mike Bahía",14732,https://open.spotify.com/track/1MYMEtHi6fmmGiDFLrBiY3
92,Falling,"Trevor Daniel",14490,https://open.spotify.com/track/4TnjEaWOeW0eKTKIEvJyCa
93,"Intentions (feat. Quavo)","Justin Bieber",14480,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
94,"La Pared 360","Lenny Tavárez",14479,https://open.spotify.com/track/2w8SKQCnT2YQK1qCqKl2uW
95,"Otro Trago - Remix",Sech,14383,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
96,"Otro Trago",Sech,14330,https://open.spotify.com/track/1Ej96GIBCTvgH7tNX1r3qr
97,"Say So","Doja Cat",14220,https://open.spotify.com/track/3Dv1eDb0MEgF93GpLXlucZ
98,"La Playa - Remix","Myke Towers",14120,https://open.spotify.com/track/70zg99pT51vB4wlMS7e4q7
99,"The Box","Roddy Ricch",13905,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
100,Despacio,"Natti Natasha",13721,https://open.spotify.com/track/203uubEQA07to1kbro35qQ
101,"Mi Error - Remix","Eladio Carrion",13653,https://open.spotify.com/track/5IjOqh4XLyjHINuOGolmAt
102,"Yo x Ti, Tu x Mi",ROSALÍA,13632,https://open.spotify.com/track/7BlBVFwvbWvcwNcUarQmjk
103,Porno,"Rich Music LTD",13615,https://open.spotify.com/track/34ZngZgo8xicbt1EE8Ob8Z
104,Bellaquita,Dalex,13501,https://open.spotify.com/track/1tpbAGsGpZee5jDHMcLrUJ
105,"Que Calor (with J Balvin & El Alfa)","Major Lazer",13398,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
106,"Te Quemaste","Manuel Turizo",13387,https://open.spotify.com/track/4fj7e6Tc48Bmomwyz2Z2XC
107,"Besos En Guerra",Morat,13296,https://open.spotify.com/track/1mlGScrDQqHqmhdIqE8MmA
108,"Un Año","Sebastian Yatra",13288,https://open.spotify.com/track/2vrpcQNg6itmgVZWsNjWe0
109,"La Forma en Que Me Miras","Super Yei",13201,https://open.spotify.com/track/6t94PGXYAuo9GbJEnMpPcW
110,"No Es Justo","J Balvin",13197,https://open.spotify.com/track/5qFeMRz4TvetPmzjre9Dq7
111,Fantasía,Ozuna,13171,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
112,Physical,"Dua Lipa",13090,https://open.spotify.com/track/5px6upUHM3fhOP621Edp4V
113,"Calma - Remix","Pedro Capó",13016,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4
114,"La Culpa","Jessi Uribe",12946,https://open.spotify.com/track/5G4ZDg8qtObwMXt0F8Sw4A
115,"Ganas de Ti","Wisin & Yandel",12923,https://open.spotify.com/track/4kuQJb8ghj6268fBTtB3bX
116,"Esta Noche","Mike Bahía",12771,https://open.spotify.com/track/4vhkI8x68EaGQR3Kn7Pwhc
117,"Dulcecitos (feat. Zion & Lennox)","Piso 21",12748,https://open.spotify.com/track/3UZ8b8lAZiaqqH6ggZqxCR
118,"Préstamela a Mí","Andy Rivera",12720,https://open.spotify.com/track/407dcWZUHSyQihZYkSF6LZ
119,Uniforme,"Rich Music LTD",12381,https://open.spotify.com/track/0wMs7DPFOnToNAoecvAFQc
120,"Pa Olvidarte (feat. Manuel Turizo) - Remix",ChocQuibTown,12372,https://open.spotify.com/track/2ktoFujjJtantyMoVdBJlX
121,"Qué Le Pasa a Mi Ex - Remix","Andy Rivera",12334,https://open.spotify.com/track/1Kkx5Ux2mJPzGFc1GMDXdV
122,Atrévete,"Nicky Jam",12248,https://open.spotify.com/track/26Qhn2T88XqVinXQpmSarj
123,"Adan y Eva","Paulo Londra",12230,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6
124,"Cuando Nadie Ve",Morat,12192,https://open.spotify.com/track/71iAechwVKGu26pahzFL0k
125,"Cuerpo en Venta",Noriel,12145,https://open.spotify.com/track/2B94bbI1a4LyBpK1439oP7
126,"No Te Vayas",Camilo,12069,https://open.spotify.com/track/4k9byIhs9ppbYWE22waJMB
127,Circles,"Post Malone",12026,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
128,"Tal Vez","Paulo Londra",11977,https://open.spotify.com/track/5jW3rF4URMdK7tO2xjS5EI
129,"La Boca","Mau y Ricky",11877,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3
130,"Verte Ir","DJ Luian",11864,https://open.spotify.com/track/4lzxJ4jCuFDXXGkE1LmpKR
131,Imaginate,"Rich Music LTD",11863,https://open.spotify.com/track/29ShXDWDedEwZkYc8Du08N
132,Piensan,"Myke Towers",11825,https://open.spotify.com/track/1A9PKAFEHMWgXNLpgf7k4J
133,Hábitos,Arcangel,11746,https://open.spotify.com/track/2UeO0dSYG1t2BpESjdk24F
134,"FRESH KERIAS",Feid,11745,https://open.spotify.com/track/6TvNO32huOBlWG5o69i1v7
135,"Shape of You","Ed Sheeran",11617,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
136,"Enamórate De Alguien Más",Morat,11600,https://open.spotify.com/track/1fXKStjVOTmBEwjAnFSNkc
137,"No Time To Die","Billie Eilish",11433,https://open.spotify.com/track/73SpzrcaHk0RQPFP73vqVR
138,"Déjate Querer","Lalo Ebratt",11422,https://open.spotify.com/track/3mN2DtljBhnrIpc3Nu2pJ8
139,ROXANNE,"Arizona Zervas",11168,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
140,"No Te Contaron Mal","Christian Nodal",10920,https://open.spotify.com/track/7hbk4BaF66O09R1gq0bKwj
141,"Déjala Que Vuelva (feat. Manuel Turizo)","Piso 21",10811,https://open.spotify.com/track/1j6xOGusnyXq3l6IryKF3G
142,"De Los Besos Que Te Di","Christian Nodal",10741,https://open.spotify.com/track/1qfoq1qvZT7VwDVeekCJ97
143,"Someone You Loved","Lewis Capaldi",10735,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
144,"Bohemian Rhapsody - 2011 Mix",Queen,10735,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
145,"Te Robaré","Nicky Jam",10711,https://open.spotify.com/track/4PJ3umtW1aWdfh5EITHc6T
146,"Me Rehúso","Danny Ocean",10628,https://open.spotify.com/track/6ifUES3keWjwXgae8pXI3o
147,"MIA (feat. Drake)","Bad Bunny",10478,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
148,Presiento,Morat,10472,https://open.spotify.com/track/2V4hc5gplg7EXlrRUvD4rp
149,Amantes,"Elder Dayán Díaz",10403,https://open.spotify.com/track/0rm6Ey3w4PrWdRac85vXN7
150,Cartagena,Fonseca,10249,https://open.spotify.com/track/1UGXsiNn0ACf2MXuHXuiJE
151,Caraluna,Bacilos,10227,https://open.spotify.com/track/7DhYjNLksXZhbRQeheAums
152,"Magia (feat. Sebastian Yatra)","Andrés Cepeda",10174,https://open.spotify.com/track/6xAhkN7uE1qdhPa8jZwhTb
153,Créeme,"KAROL G",10135,https://open.spotify.com/track/4EKZsrsCKyqr64FBHLc0DU
154,Inolvidable,"Ovy On The Drums",10125,https://open.spotify.com/track/0OTtnwUO8natNWSwdZvXVF
155,"El Efecto - Remix","Rauw Alejandro",10093,https://open.spotify.com/track/74j34STf8L6uADnTN69ohv
156,"Bajo El Agua","Manuel Medrano",10077,https://open.spotify.com/track/5QSYWruQQ7kBCHScI4xJ9g
157,"Te Mando Flores",Fonseca,10049,https://open.spotify.com/track/2in1gSZtv2lRbcZUmN9aAl
158,"Lamento Boliviano","Los Enanitos Verdes",9975,https://open.spotify.com/track/6Pur3hWy6Nzc27ilmsp5HA
159,"Mírame - Remix","Nio Garcia",9912,https://open.spotify.com/track/53uKGbcMjEc2gIWbfmvpdS
160,"Esclavo de Tus Besos","Manuel Turizo",9869,https://open.spotify.com/track/0WpwK09agFbwEUaNrGnXoe
161,Solita,Sech,9858,https://open.spotify.com/track/0tJCo71s7HT9Mu5Z4juuLw
162,"Fantasias - Unplugged","Rauw Alejandro",9809,https://open.spotify.com/track/6qqd7DGn2VXzxsR4k3Ycun
163,"Adore You","Harry Styles",9780,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
164,"La player (Bandolera)","Zion & Lennox",9772,https://open.spotify.com/track/0VKkyBKCXyR99navhVRqcP
165,"De Música Ligera","Soda Stereo",9772,https://open.spotify.com/track/2WD9ggmpZE7Wodh3qVVCgg
166,"Mejores Amigos",Yera,9749,https://open.spotify.com/track/7tQ24skemknA6PPh6gwFi1
167,"La Playa","Myke Towers",9740,https://open.spotify.com/track/6768f4xbHQBpJo5lvFVNvs
168,"Nada Ha Cambiado","Manuel Turizo",9739,https://open.spotify.com/track/5Qykmc6YTWMvZMmBcHUdMU
169,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",9737,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
170,"Con Calma","Daddy Yankee",9706,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m
171,"105 F Remix",KEVVO,9590,https://open.spotify.com/track/1aUGxXCz9QimNkKeiJtzZ7
172,"B11 (feat. Myke Towers)",Rvssian,9582,https://open.spotify.com/track/4o1DxRjMCHDwBiOKv88rOl
173,"After Hours","The Weeknd",9569,https://open.spotify.com/track/4ejyZ4uJEXUURcgKp1kP8v
174,"Otra vez (feat. J Balvin)","Zion & Lennox",9552,https://open.spotify.com/track/3QwBODjSEzelZyVjxPOHdq
175,"Dulce Pecado","Jessi Uribe",9530,https://open.spotify.com/track/1dcPvuDlIyEZSCtYXtZlMm
176,"Me Provocas",Fumaratto,9519,https://open.spotify.com/track/0r3VcnXA2bjXjFjRa8ittm
177,"Girls Like You (feat. Cardi B)","Maroon 5",9458,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8
178,"La Boca - Remix","Mau y Ricky",9421,https://open.spotify.com/track/2EEmzqzM70CybVspgM7YRT
179,Velitas,Darell,9418,https://open.spotify.com/track/7q3NthaBqFI6s0WnAlnIvq
180,"Si Se Da","Myke Towers",9353,https://open.spotify.com/track/4jMwPJMtMF977ciTvD5fwg
181,Flaca,"Andrés Calamaro",9330,https://open.spotify.com/track/1p7m9H4H8s0Y7SgRm7j3ED
182,"Déjame Ir","Andrés Cepeda",9294,https://open.spotify.com/track/3nymR2pRbiDq89qS2osIVX
183,Believer,"Imagine Dragons",9282,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
184,Amantes,Greeicy,9252,https://open.spotify.com/track/3IyPnNX142pvWx6D5CiimD
185,"Ella Quiere Beber - Remix","Anuel AA",9237,https://open.spotify.com/track/3f5lA8nnc4YYF1qf78WpHw
186,Culpables,"Manuel Turizo",9233,https://open.spotify.com/track/2zufEOvbBeIzYnRktwYk1W
187,"Si Supieras","Daddy Yankee",9216,https://open.spotify.com/track/7MRU4vOkywuhZ9kbFiPuiu
188,HP,Maluma,9187,https://open.spotify.com/track/1LIqNVhaIgxXUt2eVoIQJ3
189,"La flaca","Jarabe De Palo",9145,https://open.spotify.com/track/2LsbizbOeNa4x6qsi2jAMb
190,Bellacoso,Residente,9123,https://open.spotify.com/track/1kMUGCt7XLDc5Q64Vl0H8S
191,Mami,"Piso 21",9074,https://open.spotify.com/track/3bDD7GGvIzAZeHz2TOYD3A
192,"I Don't Care (with Justin Bieber)","Ed Sheeran",9031,https://open.spotify.com/track/0hVXuCcriWRGvwMV1r5Yn9
193,"Sweet Child O' Mine","Guns N' Roses",9030,https://open.spotify.com/track/7o2CTH4ctstm8TNelqjb51
194,Serenata,"Mike Bahía",9021,https://open.spotify.com/track/11ufNpNUBDwTGlU8sdWZaP
195,"Trátame Suavemente - Remasterizado 2007","Soda Stereo",9003,https://open.spotify.com/track/65DBZofI0b79kfHTcWWDuU
196,"Robarte un Beso","Carlos Vives",8997,https://open.spotify.com/track/0JcNysfWVWaMS7R6vzGB2k
197,OK,"Jessi Uribe",8979,https://open.spotify.com/track/7uUt5Q3ToDZhMQSGiqoLmv
198,"Every Breath You Take","The Police",8910,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
199,"Lost on You",LP,8898,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC
200,"Cuando Pase el Temblor","Soda Stereo",8887,https://open.spotify.com/track/2ExpCKBxiHbgzepERl1t4D
